title	url_slug	venue	year	date	date_str
Journal of Photovoltaics	jpv	IEEE	2021	21-03-09	2021 -present
Nature Computational Science	ncs	Springer Nature	2021	21-03-04	2021 -present
NPJ Computational Materials	npj	Springer Nature	2020	20-04-19	2020 -present
ML4PS workshop	ml4ps	33rd NeurIPS Conference	2019	19-01-01	2019
Applied Energy Materials	acs_aem	     American Chemical Society	2017	17-03-01	2017 -present
Energy & Environmental Science	ees	Royal Society of Chemistry	2017	17-03-01	2017 -present
